YANGIN_TURU,YANGIN_SEBEBI,YANGIN_SONUCU,YAPI_SEKLI,VARIS_SURESI,KULLANILAN_KOPUK_MIKTARI,KULLANILAN_SU_MIKTARI,KULLANILAN_KURU_KIMYEVI_TOZ_MIKTARI,EKIPLERIN_CIKIS_SAATI,ILCE,ADRES_BOLGESI,TOTAL_VEFAT,TOTAL_YARALI,TOTAL_HAYVAN_VEFAT
ARAÇ,PARLAMA (AKARYAKIT MADDESİ),KISMEN YANARAK KURTARILAN,YAPI_DEGIL,4,0.0,0.1,0.0,2497.5,ALİAĞA,KENT MERKEZİ,0,0,0
ÇÖP,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,5,0.0,0.3,0.0,2775.0,SELÇUK,KENT MERKEZİ,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,3,0.0,0.05,0.0,2790.0,FOÇA,KIRSAL BÖLGE,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,5,0.0,1.0,0.0,2890.0,BORNOVA,KENT MERKEZİ,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,5,0.0,0.05,0.0,2895.0,FOÇA,KIRSAL BÖLGE,0,0,0
ARAÇ,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,16,0.0,0.0,0.0,3017.5,URLA,KIRSAL BÖLGE,0,0,0
ÇÖP,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,7,0.0,0.1,0.0,3070.0,URLA,KIRSAL BÖLGE,0,0,0
İŞYERİ,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,10,0.0,0.8,0.0,3500.0,BAYINDIR,KIRSAL BÖLGE,0,0,0
MOTOSİKLET,ELEKT. KISA DEV./ELEKT. KONTAĞI,TAMAMEN YANAN,YAPI_DEGIL,10,0.0,0.0,0.0,3510.0,KEMALPAŞA,KENT MERKEZİ,0,0,0
ÇÖP,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,2,0.0,1.0,0.0,40.0,KARABAĞLAR,KENT MERKEZİ,0,0,0
ÇÖP,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,8,0.0,2.0,0.0,67.5,ALİAĞA,KIRSAL BÖLGE,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,2,0.0,1.0,0.0,150.0,BORNOVA,KENT MERKEZİ,0,0,0
ARAÇ,ELEKT. KISA DEV./ELEKT. KONTAĞI,KISMEN YANARAK KURTARILAN,YAPI_DEGIL,4,0.0,1.0,12.0,1242.5,BUCA,KENT MERKEZİ,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,3,0.0,0.1,0.0,1405.0,KONAK,KENT MERKEZİ,0,0,0
BAĞ/BAHÇE,KIVILCIM(DİĞER),BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,3,0.05,6.0,0.0,1482.5,BORNOVA,KENT MERKEZİ,0,0,0
KABLO/DİREK-ELEKT/TEL VB,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,10,0.0,0.1,0.0,1565.0,MENDERES,KIRSAL BÖLGE,0,0,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,5,0.0,0.0,0.0,1652.5,KARABAĞLAR,KENT MERKEZİ,0,0,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,5,0.0,0.0,0.0,1687.5,KARABAĞLAR,KENT MERKEZİ,0,0,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,ÇELİK,4,0.0,8.0,0.0,1695.0,GAZİEMİR,KENT MERKEZİ,0,0,13
PARK,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,5,0.0,0.1,0.0,1697.5,MENEMEN,KENT MERKEZİ,0,0,0
İŞYERİ,KIVILCIM(BACA),BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,8,0.0,1.0,0.0,1715.0,GAZİEMİR,KENT MERKEZİ,0,0,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,3,0.0,1.5,0.0,1750.0,ALİAĞA,KENT MERKEZİ,0,0,0
BİNA,KONDÜKSİYON (TEMAS İLE ISI TRANSFERİ),BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,7,0.0,5.0,0.0,1760.0,BORNOVA,KIRSAL BÖLGE,0,0,0
ARAÇ,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,6,0.0,1.0,0.0,1815.0,KARABAĞLAR,KENT MERKEZİ,0,0,0
BİNA,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,3,0.0,0.6,0.0,1937.4999999999998,KARABAĞLAR,KENT MERKEZİ,0,0,0
ARAÇ,ISINMA/SÜRTÜNME,KISMEN YANARAK KURTARILAN,YAPI_DEGIL,5,0.0,15.0,0.0,2007.5000000000002,BAYRAKLI,KENT MERKEZİ,0,0,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,3,0.0,0.0,0.0,2010.0,KONAK,KENT MERKEZİ,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,6,0.0,1.0,0.0,2050.0,BUCA,KENT MERKEZİ,0,0,0
ARAÇ,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,5,0.0,0.0,0.0,2150.0,BAYRAKLI,KENT MERKEZİ,0,0,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,5,0.0,0.2,0.0,2442.5,KONAK,KENT MERKEZİ,0,0,0
ARAÇ,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,2,0.0,0.0,0.0,2527.5,GÜZELBAHÇE,KENT MERKEZİ,0,0,0
BİNA,KIVILCIM(BACA),BAŞLANGIÇTA SÖNDÜRÜLEN,BAĞDADİ(TAŞ YAPI),6,0.0,15.0,0.0,2675.0,ÖDEMİŞ,KENT MERKEZİ,0,0,0
BİNA,KIVILCIM(DİĞER),BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,5,0.0,5.0,0.0,2675.0,BAYRAKLI,KENT MERKEZİ,0,0,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,6,0.0,0.0,0.0,2997.5,MENDERES,KENT MERKEZİ,0,0,0
BİNA,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,3,0.0,1.0,0.0,3072.5,KONAK,KENT MERKEZİ,0,0,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,3,0.0,0.0,0.0,3180.0,KONAK,KENT MERKEZİ,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,5,0.0,0.0,0.0,3242.5,BORNOVA,KENT MERKEZİ,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,5,0.0,1.0,0.0,3305.0,BUCA,KENT MERKEZİ,0,0,0
İŞYERİ,PARLAMA (YAĞ/KİMYASAL MAD.),BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,4,0.0,0.0,0.0,3317.5,BUCA,KENT MERKEZİ,0,0,0
ÇÖP,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,4,0.0,0.3,0.0,3335.0,ÇİĞLİ,KENT MERKEZİ,0,0,0
ÇÖP,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,5,0.0,1.8,0.0,255.0,BUCA,KENT MERKEZİ,0,0,0
FABRİKA/ATÖLYE/İMALATHANE,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,5,0.0,5.0,0.0,362.5,ALİAĞA,KIRSAL BÖLGE,0,0,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,4,0.0,2.0,0.0,420.0,BAYRAKLI,KENT MERKEZİ,0,1,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,3,0.0,2.0,0.0,687.5,KARABAĞLAR,KENT MERKEZİ,0,0,0
KERESTE/PALET VB,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,5,0.0,19.0,0.0,912.5,BUCA,KENT MERKEZİ,0,0,0
BİNA,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,2,0.0,3.0,0.0,1112.5,KONAK,KENT MERKEZİ,0,0,0
ARAÇ,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,4,0.0,0.0,0.0,1362.5,ÇİĞLİ,KENT MERKEZİ,0,0,0
BİNA,ÇOCUKLARIN ATEŞLE OYNAMASI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,5,0.0,0.1,0.0,1395.0,BAYRAKLI,KENT MERKEZİ,0,0,0
BİNA,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,5,0.0,1.75,0.0,1545.0,KONAK,KENT MERKEZİ,0,0,0
OT,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,5,0.0,0.1,0.0,1652.5,SEFERİHİSAR,KIRSAL BÖLGE,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,4,0.0,24.0,0.0,1692.5,BUCA,KENT MERKEZİ,0,0,0
ARAÇ,ISINMA/SÜRTÜNME,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,3,0.0,0.5,0.0,1942.5,GÜZELBAHÇE,KENT MERKEZİ,0,0,0
KABLO/DİREK-ELEKT/TEL VB,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,2,0.0,0.0,1.0,2107.5,BORNOVA,KENT MERKEZİ,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,1,0.0,0.5,0.0,2167.5,FOÇA,KENT MERKEZİ,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,4,0.0,0.4,0.0,2192.5,BUCA,KENT MERKEZİ,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,4,0.0,0.5,0.0,2362.5,KARABAĞLAR,KENT MERKEZİ,0,0,0
BİNA,KIVILCIM(BACA),BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,4,6.0,0.0,0.0,2395.0,ÖDEMİŞ,KENT MERKEZİ,0,0,0
OT,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,6,0.0,2.0,0.0,2447.5,ALİAĞA,KIRSAL BÖLGE,0,0,0
ÇÖP,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,4,0.0,0.5,0.0,2567.5,DİKİLİ,KENT MERKEZİ,0,0,0
BİNA,KASIT,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,1,0.0,1.0,0.0,2582.5,KARABAĞLAR,KENT MERKEZİ,0,1,0
ÇÖP,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,2,0.0,1.0,0.0,2645.0,BORNOVA,KENT MERKEZİ,0,0,0
BİNA,PARLAMA (YAĞ/KİMYASAL MAD.),BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,4,0.0,0.1,0.0,2885.0,BORNOVA,KENT MERKEZİ,0,0,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,TAMAMEN YANAN,PREFABRİK,10,0.0,20.0,0.0,3030.0,ÖDEMİŞ,KIRSAL BÖLGE,0,0,0
BİNA,PARLAMA (YAĞ/KİMYASAL MAD.),BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,5,0.0,0.0,0.0,3050.0,KARŞIYAKA,KENT MERKEZİ,0,0,0
BİNA,KIVILCIM(BACA),BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,2,0.0,0.3,0.0,3100.0,KARABAĞLAR,KENT MERKEZİ,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,4,0.0,1.0,0.0,3145.0,ÇİĞLİ,KENT MERKEZİ,0,0,0
ARAÇ,PARLAMA (AKARYAKIT MADDESİ),BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,5,0.0,1.0,0.0,3155.0,BUCA,KENT MERKEZİ,0,0,0
ÇÖP,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,4,0.0,0.1,0.0,3397.5,BUCA,KENT MERKEZİ,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,5,0.0,1.0,0.0,430.0,BUCA,KENT MERKEZİ,0,0,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,4,0.0,0.5,0.0,770.0,BUCA,KENT MERKEZİ,0,0,0
ARAÇ,ISINMA/SÜRTÜNME,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,6,0.0,0.5,0.0,1222.5,NARLIDERE,KENT MERKEZİ,0,0,0
ARAÇ,KAZA SONUCU,TAMAMEN YANAN,YAPI_DEGIL,15,0.0,5.0,0.0,1282.5,MENDERES,KIRSAL BÖLGE,1,3,0
İŞYERİ,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,7,0.0,0.0,0.0,1480.0,MENDERES,KIRSAL BÖLGE,0,0,0
BARAKA/KULÜBE/YAŞAM KONTEYNERİ,ELEKT. KISA DEV./ELEKT. KONTAĞI,TAMAMEN YANAN,DİĞER,8,0.0,2.0,0.0,1620.0,MENDERES,KIRSAL BÖLGE,0,0,80
ARAÇ,ELEKT. KISA DEV./ELEKT. KONTAĞI,KISMEN YANARAK KURTARILAN,YAPI_DEGIL,7,0.0,0.5,0.0,2050.0,TORBALI,KIRSAL BÖLGE,0,0,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,5,0.0,0.0,0.0,2185.0,ÇİĞLİ,KENT MERKEZİ,0,0,0
BARAKA/KULÜBE/YAŞAM KONTEYNERİ,ELEKT. KISA DEV./ELEKT. KONTAĞI,TAMAMEN YANAN,DİĞER,5,200.0,8.0,0.0,2210.0,BERGAMA,KIRSAL BÖLGE,0,0,0
BİNA,KIVILCIM(DİĞER),BAŞLANGIÇTA SÖNDÜRÜLEN,ÇELİK,5,0.0,1.0,0.0,2462.5,KARŞIYAKA,KENT MERKEZİ,0,0,0
BİNA,KONDÜKSİYON (TEMAS İLE ISI TRANSFERİ),BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,2,0.0,3.0,0.0,2467.5,BORNOVA,KENT MERKEZİ,0,0,0
ARAÇ,PARLAMA (AKARYAKIT MADDESİ),BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,1,0.0,0.1,0.0,2560.0,TORBALI,KENT MERKEZİ,0,0,0
ARAÇ,ELEKT. KISA DEV./ELEKT. KONTAĞI,TAMAMEN YANAN,YAPI_DEGIL,4,50.0,8.0,0.0,2562.5,SEFERİHİSAR,KENT MERKEZİ,0,0,0
İŞYERİ,KIVILCIM(BACA),BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,4,0.0,0.1,0.0,2725.0,KARŞIYAKA,KENT MERKEZİ,0,0,0
ÇÖP,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,11,0.0,0.6,0.0,2817.5,URLA,KIRSAL BÖLGE,0,0,0
BİNA,ŞÜPHELİ,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,3,0.0,1.2,0.0,3052.5,KONAK,KENT MERKEZİ,0,0,0
BİNA,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,5,0.0,3.0,0.0,3300.0,BORNOVA,KENT MERKEZİ,0,0,0
BİNA,ŞÜPHELİ,KISMEN YANARAK KURTARILAN,BETONARME,7,200.0,10.0,0.0,22.5,BERGAMA,KIRSAL BÖLGE,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,3,0.0,0.5,0.0,165.0,BUCA,KENT MERKEZİ,0,0,0
BİNA,ŞÜPHELİ,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,5,0.0,0.0,0.0,252.49999999999997,ÖDEMİŞ,KENT MERKEZİ,0,0,0
BİNA,OCAK ÜSTÜ YEMEK UNUTMA,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,4,0.0,0.5,0.0,550.0,KONAK,KENT MERKEZİ,0,0,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,5,0.0,0.5,0.0,1397.5,KONAK,KENT MERKEZİ,0,0,0
ÇÖP,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,3,0.0,0.2,0.0,1412.5,GAZİEMİR,KENT MERKEZİ,0,0,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,PREFABRİK,12,0.0,0.0,0.0,1852.5,BAYINDIR,KIRSAL BÖLGE,0,0,0
ÇÖP,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,13,0.0,3.0,0.0,2210.0,URLA,KIRSAL BÖLGE,0,0,0
OT,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,5,0.0,0.5,0.0,2305.0,BERGAMA,KENT MERKEZİ,0,0,0
BİNA,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,BAĞDADİ(TAŞ YAPI),4,0.0,2.0,0.0,2332.5,SELÇUK,KENT MERKEZİ,0,0,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,11,0.0,0.0,0.0,2355.0,BAYINDIR,KIRSAL BÖLGE,0,0,0
OT,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,5,0.0,2.0,0.0,2450.0,MENEMEN,KENT MERKEZİ,0,0,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,6,0.0,20.0,0.0,2502.5,ALİAĞA,KENT MERKEZİ,0,0,0
ÇÖP,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,8,0.0,0.5,0.0,2667.5,KINIK,KENT MERKEZİ,0,0,0
TRAFO,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,3,0.0,0.0,6.0,2707.5,KARABAĞLAR,KENT MERKEZİ,0,0,0
ÇÖP,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,7,0.0,0.5,0.0,2770.0,BAYRAKLI,KENT MERKEZİ,0,0,0
BİNA,LPG/DOĞALGAZ,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,9,0.0,0.0,0.0,2827.5,SEFERİHİSAR,KIRSAL BÖLGE,0,0,0
ÇÖP,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,4,0.0,0.1,0.0,2912.5,ÖDEMİŞ,KENT MERKEZİ,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,6,0.0,0.5,0.0,2920.0,BORNOVA,KENT MERKEZİ,0,0,0
ARAÇ,KIVILCIM(DİĞER),TAMAMEN YANAN,YAPI_DEGIL,6,0.0,2.0,0.0,2952.5,BALÇOVA,KENT MERKEZİ,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,3,0.0,0.3,0.0,2970.0,TİRE,KENT MERKEZİ,0,0,0
LASTİK,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,3,50.0,5.0,0.0,3055.0,SELÇUK,KENT MERKEZİ,0,0,0
BARAKA/KULÜBE/YAŞAM KONTEYNERİ,KIVILCIM(DİĞER),BAŞLANGIÇTA SÖNDÜRÜLEN,AHŞAP,17,0.0,1.0,0.0,3205.0,MENDERES,KIRSAL BÖLGE,0,0,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,5,0.0,0.25,0.0,3255.0,ÇEŞME,KENT MERKEZİ,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,3,0.0,0.2,0.0,3440.0,BUCA,KENT MERKEZİ,0,0,0
KABLO/DİREK-ELEKT/TEL VB,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,5,0.0,0.0,0.0,3442.5,MENEMEN,KENT MERKEZİ,0,0,0
MOTOSİKLET,ŞÜPHELİ,KISMEN YANARAK KURTARILAN,YAPI_DEGIL,5,0.0,3.0,0.0,62.50000000000001,KARŞIYAKA,KENT MERKEZİ,0,0,0
FABRİKA/ATÖLYE/İMALATHANE,ELEKT. KISA DEV./ELEKT. KONTAĞI,TAMAMEN YANAN,BETONARME,4,250.0,40.0,0.0,170.0,TORBALI,KIRSAL BÖLGE,0,0,0
